timestamp,x,y,theta
2025-03-02 11:41:33.320354,0.0,0.0,33.564411611884516
2025-03-02 11:41:33.398670,0.0,0.0,45.452465929165605
2025-03-02 11:41:33.501310,0.0,0.0,51.63056464452637
2025-03-02 11:41:33.601898,0.0,0.0,55.480328950416876
2025-03-02 11:41:33.705451,0.0,0.0,57.962653442832575
2025-03-02 11:41:33.809396,0.0,0.0,59.78060878397822
2025-03-02 11:41:33.913613,0.0,0.0,61.082933372874315
2025-03-02 11:41:34.018738,0.0,0.0,62.002393550634146
2025-03-02 11:41:34.120941,0.0,0.0,62.674237977475954
2025-03-02 11:41:34.274229,0.0,0.0,63.14981018653826
2025-03-02 11:41:34.369217,0.0,0.0,63.58711731598718
2025-03-02 11:41:34.426572,0.0,0.0,63.92051596285661
2025-03-02 11:41:34.529325,0.0,0.0,64.09167974899786
2025-03-02 11:41:34.632961,0.0,0.0,64.17740157584797
2025-03-02 11:41:34.734853,0.0,0.0,64.33648591428212
2025-03-02 11:41:34.854866,0.0,0.0,64.44963381427438
2025-03-02 11:41:34.939010,0.0,0.0,64.5395002316803
2025-03-02 11:41:35.107685,0.0,0.0,64.55956821294912
2025-03-02 11:41:35.168282,0.0,0.0,64.57480921778428
2025-03-02 11:41:35.268569,0.0,0.0,64.63217483227936
2025-03-02 11:41:35.349783,0.0,0.0,64.56389092762494
2025-03-02 11:41:35.471158,0.2755273564445793,0.5810580198868045,65.48259521276773
2025-03-02 11:41:35.565075,0.6955464836938282,1.4996816850375594,66.02866230027047
2025-03-02 11:41:36.194946,5.132602653628078,11.517904959016894,65.90423187087156
2025-03-02 11:41:36.305320,6.16134988266046,13.831150330255884,66.07742097565804
2025-03-02 11:41:36.393134,7.0560078284877035,15.848759769990274,65.86689274638654
2025-03-02 11:41:36.632337,9.42820928533436,21.1862999265619,66.05582347456532
2025-03-02 11:41:36.836318,11.830608634297388,26.604571280799306,66.06801063339852
2025-03-02 11:41:36.909357,12.831926787241436,28.86192131808145,66.00416347128383
2025-03-02 11:41:37.203621,17.042998410816693,38.36593875935724,65.75842537315182
2025-03-02 11:41:37.310699,18.726947018484317,42.15258438076581,65.81289603844942
2025-03-02 11:41:37.534852,22.553085721226875,50.76640865283281,65.58872268098298
2025-03-02 11:41:37.722792,26.027745223143047,58.56203353899949,65.41972642858389
2025-03-02 11:41:37.825700,28.004687641896215,62.98762772248318,65.15201805972715
2025-03-02 11:41:37.946841,30.44569675077602,68.43221627526313,64.89433824726862
2025-03-02 11:41:38.055314,32.67048780216952,73.38311707803457,64.68132116985198
2025-03-02 11:41:38.147661,34.654515818202064,77.78264466634911,64.54978776217808
2025-03-02 11:41:38.270814,37.2794887265659,83.60101610190382,64.87750047612006
2025-03-02 11:41:38.473677,42.098327696130646,94.26263456370859,64.73984242493546
2025-03-02 11:41:38.553315,44.06180274378938,98.5964486635508,64.59294353944611
2025-03-02 11:41:38.668481,46.93581570441254,104.93113404453408,64.62005279777766
2025-03-02 11:41:38.751517,49.09692444373241,109.6868992325754,64.76080929751393
2025-03-02 11:41:38.895665,52.365740746267996,116.9227093476598,63.999292515829175
2025-03-02 11:41:38.963361,53.90086983870389,120.32085154561436,63.686312429716274
2025-03-02 11:41:39.068884,56.293794490398405,125.61779906326325,63.40131887316094
2025-03-02 11:41:39.160922,58.38092240651774,130.23783882359388,63.284382583514336
2025-03-02 11:41:39.273973,60.944558057501105,135.91267003401933,63.19718658523002
2025-03-02 11:41:39.378016,63.30392103558411,141.13532585861438,63.16881051196563
2025-03-02 11:41:39.477575,65.56160121334682,146.13289793209225,63.100895294896304
2025-03-02 11:41:39.584611,67.98883587326718,151.50579364676173,63.01629049078289
2025-03-02 11:41:39.705951,70.7404395732815,157.59670853537858,62.919937075333266
2025-03-02 11:41:39.787478,72.58921157633961,161.68912668375725,62.85855298271759
2025-03-02 11:41:39.890005,74.9141965157773,166.83568372006204,62.7883441251547
2025-03-02 11:41:40.008211,77.59473110423862,172.7692809289284,62.79576267215215
2025-03-02 11:41:40.115366,80.02466430413179,178.1481500972961,62.84785493860415
2025-03-02 11:41:40.226151,82.53691431159915,183.70923470200535,62.82005301608363
2025-03-02 11:41:40.296496,84.13211426443834,187.2403489911083,62.79529488852683
2025-03-02 11:41:40.420074,86.93446865738686,193.44360496692414,62.7577336450324
2025-03-02 11:41:40.512018,89.01946495369573,198.05892620080405,62.71495747859083
2025-03-02 11:41:40.606642,91.16523509140923,202.8087756356193,62.656736000178164
2025-03-02 11:41:40.730751,93.97963086860621,209.0386862661727,62.653209997933025
